AnlyTxHack__Account_External_Id__c,Priority,AnlyTxHack__EstimatedClosedDate__c,AnlyTxHack__CSAT__c,Origin,Reason,AnlyTxHack__SLAViolation__c,AnlyTxHack__SLA_Type__c,Status,Subject,AnlyTxHack__Country__c,AnlyTxHack__Solved_By__c,AnlyTxHack__Industry_Type__c
0012w00000LRfgGAAT,Low,2020-01-01,82,Phone,Other,Compliant,Premium,Closed,Case about Accessories,Australia,Knowledge Portal,Manufacturing
0012w00000LRfltAAD,Low,2020-01-02,82,Web,Other,Compliant,Basic,Closed,Case about Accessories,Austria,Chatbot,Consumer Goods
0012w00000LRfluAAD,Medium,2020-01-03,119,Email,Feedback,Compliant,Basic,Closed,Case about Accessories,Belarus,Call center Agent,Health Care
0012w00000LRflvAAD,Low,2020-01-04,95,Chat,Installation,Compliant,Basic,Closed,Case about Accessories,Brazil,Onsite Agent,Entertainment
0012w00000LRflwAAD,Medium,2020-01-05,85,Web,Equipment Complexity,Compliant,Basic,Closed,Case about Accessories,Belgium,Self,Computer Software
0012w00000LRflxAAD,Medium,2020-01-06,95,Phone,Breakdown,Compliant,Basic,Closed,Case about Accessories,China,Knowledge Portal,Construction
0012w00000LRflyAAD,Low,2020-01-07,120,Email,Performance,Compliant,Premium,Closed,Case about Accessories,United Arab Emirates,Chatbot,Health Care
0012w00000LRflzAAD,Medium,2020-01-08,92,Chat,Performance,Open Violation,Basic,Closed,Case about Accessories,United States of America,Call center Agent,Manufacturing
0012w00000LRfm0AAD,Low,2020-01-09,71,Phone,Other,Compliant,Basic,Closed,Case about Accessories,India,Onsite Agent,Consumer Goods
0012w00000LRfm1AAD,Medium,2020-01-10,85,Web,Other,Compliant,Basic,Closed,Case about Accessories,The United Kingdom,Self,Travel
0012w00000LRfm2AAD,Low,2020-01-11,75,Chat,Equipment Design,Compliant,Basic,Closed,Case about Accessories,Russia,Knowledge Portal,Entertainment
0012w00000LRfm3AAD,Medium,2020-01-12,80,Chat,Other,Compliant,Basic,Closed,Case about Accessories,Canada,Chatbot,Computer Software
0012w00000LRfm4AAD,Low,2020-01-13,72,Phone,Installation,Compliant,Basic,Closed,Case about Accessories,Israel,Call center Agent,Construction
0012w00000LRfm5AAD,Low,2020-01-14,84,Web,Installation,Compliant,Basic,Closed,Case about Accessories,Australia,Onsite Agent,Health Care
0012w00000LRfm6AAD,Low,2020-01-15,91,Web,Equipment Complexity,Compliant,Basic,Closed,Case about Accessories,Austria,Self,Manufacturing
0012w00000LRfm7AAD,Medium,2020-01-16,103,Web,Equipment Design,Compliant,Basic,Closed,Case about Accessories,Belarus,Knowledge Portal,Consumer Goods
0012w00000LRfm8AAD,Medium,2020-01-17,80,Chat,Equipment Design,Compliant,Basic,Closed,Case about Accessories,Brazil,Chatbot,Travel
0012w00000LRfm9AAD,Low,2020-01-18,102,Web,Equipment Design,Compliant,Basic,Closed,Case about Accessories,Belgium,Call center Agent,Entertainment
0012w00000LRfmAAAT,Low,2020-01-19,92,Phone,Installation,Compliant,Basic,Closed,Case about Accessories,China,Onsite Agent,Computer Software
0012w00000LRfmBAAT,Low,2020-01-20,102,Web,Other,Compliant,Premium,Closed,Case about Accessories,United Arab Emirates,Self,Construction
0012w00000LRfmCAAT,Medium,2020-01-21,105,Web,Equipment Complexity,Compliant,Basic,Closed,Case about Accessories,United States of America,Knowledge Portal,Health Care
0012w00000LRfmDAAT,Low,2020-01-22,80,Web,Performance,Compliant,Basic,Closed,Case about Accessories,India,Chatbot,Manufacturing
0012w00000LRfmEAAT,Medium,2020-01-23,106,Web,Installation,Compliant,Basic,Closed,Case about Accessories,The United Kingdom,Call center Agent,Consumer Goods
0012w00000LRfmFAAT,Low,2020-01-24,79,Phone,Performance,Compliant,Premium,Closed,Case about Accessories,Russia,Onsite Agent,Health Care
0012w00000LRfmGAAT,Low,2020-01-25,93,Chat,Breakdown,Compliant,Premium,Closed,Case about Accessories,Canada,Self,Entertainment
0012w00000LRfmHAAT,Low,2020-01-26,96,Email,Performance,Compliant,Basic,Closed,Case about Accessories,Israel,Knowledge Portal,Computer Software
0012w00000LRfrWAAT,Low,2020-01-27,115,Chat,Feedback,Compliant,Premium,Closed,Case about Accessories,Australia,Chatbot,Construction
0012w00000LRfrXAAT,Low,2020-01-28,90,Web,Equipment Design,Compliant,Basic,Closed,Case about Accessories,Austria,Call center Agent,Health Care
0012w00000LRfrYAAT,Medium,2020-01-29,79,Web,Equipment Complexity,Compliant,Premium,Closed,Case about Accessories,Belarus,Onsite Agent,Manufacturing
0012w00000LRfrZAAT,Medium,2020-01-30,75,Chat,Performance,Compliant,Premium,Closed,Case about Accessories,Brazil,Self,Consumer Goods
0012w00000LRfraAAD,Medium,2020-01-31,86,Phone,Equipment Design,Compliant,Premium,Closed,Case about Accessories,Belgium,Knowledge Portal,Travel
0012w00000LRfrbAAD,Low,2020-02-01,105,Web,Equipment Complexity,Compliant,Basic,Closed,Case about Accessories,China,Chatbot,Entertainment
0012w00000LRfrcAAD,Medium,2020-02-02,99,Phone,Equipment Design,Open Violation,Basic,Closed,Case about Accessories,United Arab Emirates,Call center Agent,Computer Software
0012w00000LRfrdAAD,Low,2020-02-03,109,Phone,Equipment Design,Compliant,Premium,Closed,Case about Accessories,United States of America,Onsite Agent,Construction
0012w00000LRfreAAD,Low,2020-02-04,79,Phone,Other,Compliant,Premium,Closed,Case about Accessories,India,Self,Health Care
0012w00000LRfrfAAD,Low,2020-02-05,87,Phone,Feedback,Compliant,Basic,Closed,Case about Accessories,The United Kingdom,Knowledge Portal,Manufacturing
0012w00000LRfrgAAD,Low,2020-02-06,80,Chat,Other,Compliant,Basic,Closed,Case about Accessories,Russia,Chatbot,Consumer Goods
0012w00000LRfrhAAD,Medium,2020-02-07,99,Email,Performance,Open Violation,Basic,Closed,Case about Accessories,Canada,Call center Agent,Travel
0012w00000LRfriAAD,Low,2020-02-08,85,Web,Equipment Complexity,Compliant,Premium,Closed,Case about Accessories,Israel,Onsite Agent,Entertainment
0012w00000LRfrjAAD,Medium,2020-02-09,112,Web,Equipment Design,Compliant,Basic,Closed,Case about Accessories,Australia,Self,Computer Software
0012w00000LRfrkAAD,Medium,2020-02-10,114,Phone,Equipment Design,Compliant,Premium,Closed,Case about Accessories,Austria,Knowledge Portal,Construction
0012w00000LRfrlAAD,Low,2020-02-11,73,Email,Equipment Complexity,Compliant,Basic,Closed,Case about Accessories,Belarus,Chatbot,Health Care
0012w00000LRfrmAAD,Low,2020-02-12,94,Web,Performance,Compliant,Premium,Closed,Case about Accessories,Brazil,Call center Agent,Manufacturing
0012w00000LRfrnAAD,Low,2020-02-13,82,Web,Performance,Compliant,Basic,Closed,Case about Accessories,Belgium,Onsite Agent,Consumer Goods
0012w00000LRfroAAD,Low,2020-02-14,120,Web,Performance,Compliant,Premium,Closed,Case about Accessories,China,Self,Travel
0012w00000LRfrpAAD,Low,2020-02-15,93,Phone,Equipment Complexity,Compliant,Basic,Closed,Case about Accessories,United Arab Emirates,Knowledge Portal,Entertainment
0012w00000LRfrqAAD,Low,2020-02-16,97,Web,Equipment Complexity,Open Violation,Basic,Closed,Case about Accessories,United States of America,Chatbot,Computer Software
0012w00000LRfrrAAD,High,2020-02-17,98,Email,Installation,Open Violation,Basic,Closed,Case about Accessories,India,Call center Agent,Construction
0012w00000LRfrsAAD,Low,2020-02-18,80,Web,Other,Compliant,Basic,Closed,Case about Accessories,The United Kingdom,Onsite Agent,Health Care
0012w00000LRfrtAAD,Medium,2020-02-19,91,Phone,Installation,Compliant,Premium,Closed,Case about Accessories,Russia,Self,Manufacturing
0012w00000LRfruAAD,Low,2020-02-20,106,Web,Equipment Design,Compliant,Basic,Closed,Case about Accessories,Canada,Knowledge Portal,Consumer Goods
0012w00000LRfvGAAT,Low,2020-02-21,99,Phone,Performance,Open Violation,Premium,Closed,Case about Accessories,Israel,Chatbot,Travel
0012w00000LRfvHAAT,Low,2020-02-22,93,Chat,Installation,Compliant,Basic,Closed,Case about Accessories,Australia,Call center Agent,Entertainment
0012w00000LRfvIAAT,Medium,2020-02-23,88,Email,Equipment Design,Compliant,Basic,Closed,Case about Accessories,Austria,Onsite Agent,Computer Software
0012w00000LRfvJAAT,Low,2020-02-24,74,Phone,Other,Compliant,Basic,Closed,Case about Accessories,Belarus,Self,Construction
0012w00000LRfvKAAT,Low,2020-02-25,96,Phone,Feedback,Compliant,Premium,Attention,Case about Accessories,Brazil,Knowledge Portal,Health Care
0012w00000LRfvLAAT,Low,2020-02-26,75,Web,Equipment Design,Compliant,Premium,Closed,Case about Accessories,Belgium,Chatbot,Manufacturing
0012w00000LRfvMAAT,Low,2020-02-27,100,Chat,Breakdown,Compliant,Basic,Working,Case about Accessories,China,Call center Agent,Consumer Goods
0012w00000LRfvNAAT,Low,2020-02-28,89,Phone,Performance,Compliant,Basic,Working,Case about Accessories,United Arab Emirates,Onsite Agent,Travel
0012w00000LRfvOAAT,Low,2020-02-29,75,Chat,Equipment Design,Compliant,Premium,Working,Case about Accessories,United States of America,Self,Entertainment
0012w00000LRfvPAAT,High,2020-03-01,101,Email,Performance,Compliant,Premium,Closed,Case about Accessories,India,Knowledge Portal,Computer Software
