AnlyTxHack__Date_Reported__c,AnlyTxHack__Country_Code__c,AnlyTxHack__Country__c,AnlyTxHack__New_Cases__c,AnlyTxHack__Cumulative_Cases__c,AnlyTxHack__New_Deaths__c,AnlyTxHack__Cumulative_Deaths__c
2020-01-03,AF,Afghanistan,0,0,0,0
2020-01-04,AF,Afghanistan,0,0,0,0
2020-01-05,AF,Afghanistan,0,0,0,0
2020-01-06,AF,Afghanistan,0,0,0,0
2020-01-07,AF,Afghanistan,0,0,0,0
2020-01-08,AF,Afghanistan,0,0,0,0
2020-01-09,AF,Afghanistan,0,0,0,0
2020-01-10,AF,Afghanistan,0,0,0,0
2020-01-11,AF,Afghanistan,0,0,0,0
2020-01-12,AF,Afghanistan,0,0,0,0
2020-01-13,AF,Afghanistan,0,0,0,0
2020-01-14,AF,Afghanistan,0,0,0,0
2020-01-15,AF,Afghanistan,0,0,0,0
2020-01-16,AF,Afghanistan,0,0,0,0
2020-01-17,AF,Afghanistan,0,0,0,0
2020-01-18,AF,Afghanistan,0,0,0,0
2020-01-19,AF,Afghanistan,0,0,0,0
2020-01-20,AF,Afghanistan,0,0,0,0
2020-01-21,AF,Afghanistan,0,0,0,0
2020-01-22,AF,Afghanistan,0,0,0,0
2020-01-23,AF,Afghanistan,0,0,0,0
2020-01-24,AF,Afghanistan,0,0,0,0
2020-01-25,AF,Afghanistan,0,0,0,0
2020-01-26,AF,Afghanistan,0,0,0,0
2020-01-27,AF,Afghanistan,0,0,0,0
2020-01-28,AF,Afghanistan,0,0,0,0
2020-01-29,AF,Afghanistan,0,0,0,0
2020-01-30,AF,Afghanistan,0,0,0,0
2020-01-31,AF,Afghanistan,0,0,0,0
2020-02-01,AF,Afghanistan,0,0,0,0
2020-02-02,AF,Afghanistan,0,0,0,0
2020-02-03,AF,Afghanistan,0,0,0,0
2020-02-04,AF,Afghanistan,0,0,0,0
2020-02-05,AF,Afghanistan,0,0,0,0
2020-02-06,AF,Afghanistan,0,0,0,0
2020-02-07,AF,Afghanistan,0,0,0,0
2020-02-08,AF,Afghanistan,0,0,0,0
2020-02-09,AF,Afghanistan,0,0,0,0
2020-02-10,AF,Afghanistan,0,0,0,0
2020-02-11,AF,Afghanistan,0,0,0,0
2020-02-12,AF,Afghanistan,0,0,0,0
2020-02-13,AF,Afghanistan,0,0,0,0
2020-02-14,AF,Afghanistan,0,0,0,0
2020-02-15,AF,Afghanistan,0,0,0,0
2020-02-16,AF,Afghanistan,0,0,0,0
2020-02-17,AF,Afghanistan,0,0,0,0
2020-02-18,AF,Afghanistan,0,0,0,0
2020-02-19,AF,Afghanistan,0,0,0,0
2020-02-20,AF,Afghanistan,0,0,0,0
2020-02-21,AF,Afghanistan,0,0,0,0
2020-02-22,AF,Afghanistan,0,0,0,0
2020-02-23,AF,Afghanistan,0,0,0,0
2020-02-24,AF,Afghanistan,5,5,0,0
2020-02-25,AF,Afghanistan,0,5,0,0
2020-02-26,AF,Afghanistan,0,5,0,0
2020-02-27,AF,Afghanistan,0,5,0,0
2020-02-28,AF,Afghanistan,0,5,0,0
2020-02-29,AF,Afghanistan,0,5,0,0
2020-03-01,AF,Afghanistan,0,5,0,0
2020-03-02,AF,Afghanistan,0,5,0,0
2020-03-03,AF,Afghanistan,0,5,0,0
2020-03-04,AF,Afghanistan,0,5,0,0
2020-03-05,AF,Afghanistan,0,5,0,0
2020-03-06,AF,Afghanistan,0,5,0,0
2020-03-07,AF,Afghanistan,3,8,0,0
2020-03-08,AF,Afghanistan,0,8,0,0
2020-03-09,AF,Afghanistan,0,8,0,0
2020-03-10,AF,Afghanistan,0,8,0,0
2020-03-11,AF,Afghanistan,3,11,0,0
2020-03-12,AF,Afghanistan,0,11,0,0
2020-03-13,AF,Afghanistan,0,11,0,0
2020-03-14,AF,Afghanistan,3,14,0,0
2020-03-15,AF,Afghanistan,6,20,0,0
2020-03-16,AF,Afghanistan,5,25,0,0
2020-03-17,AF,Afghanistan,1,26,0,0
2020-03-18,AF,Afghanistan,0,26,0,0
2020-03-19,AF,Afghanistan,0,26,0,0
2020-03-20,AF,Afghanistan,-2,24,0,0
2020-03-21,AF,Afghanistan,0,24,0,0
2020-03-22,AF,Afghanistan,10,34,0,0
2020-03-23,AF,Afghanistan,6,40,1,1
2020-03-24,AF,Afghanistan,2,42,0,1
2020-03-25,AF,Afghanistan,32,74,0,1
2020-03-26,AF,Afghanistan,6,80,1,2
2020-03-27,AF,Afghanistan,11,91,0,2
2020-03-28,AF,Afghanistan,15,106,1,3
2020-03-29,AF,Afghanistan,8,114,1,4
2020-03-30,AF,Afghanistan,0,114,0,4
2020-03-31,AF,Afghanistan,52,166,0,4
2020-04-01,AF,Afghanistan,26,192,0,4
2020-04-02,AF,Afghanistan,43,235,0,4
2020-04-03,AF,Afghanistan,34,269,1,5
2020-04-04,AF,Afghanistan,1,270,0,5
2020-04-05,AF,Afghanistan,29,299,2,7
2020-04-06,AF,Afghanistan,38,337,0,7
2020-04-07,AF,Afghanistan,30,367,4,11
2020-04-08,AF,Afghanistan,56,423,3,14
2020-04-09,AF,Afghanistan,61,484,1,15
2020-04-10,AF,Afghanistan,37,521,0,15
2020-04-11,AF,Afghanistan,0,521,0,15
2020-04-12,AF,Afghanistan,34,555,3,18
2020-04-13,AF,Afghanistan,110,665,3,21
2020-04-14,AF,Afghanistan,49,714,2,23
2020-04-15,AF,Afghanistan,70,784,2,25
2020-04-16,AF,Afghanistan,10,794,4,29
2020-04-17,AF,Afghanistan,51,845,1,30
2020-04-18,AF,Afghanistan,63,908,0,30
2020-04-19,AF,Afghanistan,88,996,3,33
2020-04-20,AF,Afghanistan,0,996,0,33
2020-04-21,AF,Afghanistan,96,1092,3,36
2020-04-22,AF,Afghanistan,84,1176,4,40
2020-04-23,AF,Afghanistan,0,1176,0,40
2020-04-24,AF,Afghanistan,50,1226,0,40
2020-04-25,AF,Afghanistan,237,1463,7,47
2020-04-26,AF,Afghanistan,0,1463,2,49
2020-04-27,AF,Afghanistan,240,1703,8,57
2020-04-28,AF,Afghanistan,124,1827,3,60
2020-04-29,AF,Afghanistan,0,1827,0,60
2020-04-30,AF,Afghanistan,344,2171,4,64
2020-05-01,AF,Afghanistan,0,2171,0,64
2020-05-02,AF,Afghanistan,298,2469,8,72
2020-05-03,AF,Afghanistan,0,2469,0,72
2020-05-04,AF,Afghanistan,0,2469,0,72
2020-05-05,AF,Afghanistan,755,3224,23,95
2020-05-06,AF,Afghanistan,168,3392,9,104
