ANLYTXHACK__COUNTRY_CODE__C,ANLYTXHACK__COUNTRY__C,ANLYTXHACK__CUMULATIVE_CASES__C,ANLYTXHACK__CUMULATIVE_DEATHS__C,ANLYTXHACK__NEW_CASES__C,ANLYTXHACK__NEW_DEATHS__C,ANLYTXHACK__DATE_REPORTED__C
AF,Afghanistan,0,0,0,0,2020-01-03 00:00:00
AF,Afghanistan,0,0,0,0,2020-01-04 00:00:00
AF,Afghanistan,0,0,0,0,2020-01-05 00:00:00
AF,Afghanistan,0,0,0,0,2020-01-06 00:00:00
AF,Afghanistan,0,0,0,0,2020-01-07 00:00:00
AF,Afghanistan,0,0,0,0,2020-01-08 00:00:00
AF,Afghanistan,0,0,0,0,2020-01-09 00:00:00
AF,Afghanistan,0,0,0,0,2020-01-10 00:00:00
AF,Afghanistan,0,0,0,0,2020-01-11 00:00:00
AF,Afghanistan,0,0,0,0,2020-01-12 00:00:00
AF,Afghanistan,0,0,0,0,2020-01-13 00:00:00
AF,Afghanistan,0,0,0,0,2020-01-14 00:00:00
AF,Afghanistan,0,0,0,0,2020-01-15 00:00:00
AF,Afghanistan,0,0,0,0,2020-01-16 00:00:00
AF,Afghanistan,0,0,0,0,2020-01-17 00:00:00
AF,Afghanistan,0,0,0,0,2020-01-18 00:00:00
AF,Afghanistan,0,0,0,0,2020-01-19 00:00:00
AF,Afghanistan,0,0,0,0,2020-01-20 00:00:00
AF,Afghanistan,0,0,0,0,2020-01-21 00:00:00
AF,Afghanistan,0,0,0,0,2020-01-22 00:00:00
AF,Afghanistan,0,0,0,0,2020-01-23 00:00:00
AF,Afghanistan,0,0,0,0,2020-01-24 00:00:00
AF,Afghanistan,0,0,0,0,2020-01-25 00:00:00
AF,Afghanistan,0,0,0,0,2020-01-26 00:00:00
AF,Afghanistan,0,0,0,0,2020-01-27 00:00:00
AF,Afghanistan,0,0,0,0,2020-01-28 00:00:00
AF,Afghanistan,0,0,0,0,2020-01-29 00:00:00
AF,Afghanistan,0,0,0,0,2020-01-30 00:00:00
AF,Afghanistan,0,0,0,0,2020-01-31 00:00:00
AF,Afghanistan,0,0,0,0,2020-02-01 00:00:00
AF,Afghanistan,0,0,0,0,2020-02-02 00:00:00
AF,Afghanistan,0,0,0,0,2020-02-03 00:00:00
AF,Afghanistan,0,0,0,0,2020-02-04 00:00:00
AF,Afghanistan,0,0,0,0,2020-02-05 00:00:00
AF,Afghanistan,0,0,0,0,2020-02-06 00:00:00
AF,Afghanistan,0,0,0,0,2020-02-07 00:00:00
AF,Afghanistan,0,0,0,0,2020-02-08 00:00:00
AF,Afghanistan,0,0,0,0,2020-02-09 00:00:00
AF,Afghanistan,0,0,0,0,2020-02-10 00:00:00
AF,Afghanistan,0,0,0,0,2020-02-11 00:00:00
AF,Afghanistan,0,0,0,0,2020-02-12 00:00:00
AF,Afghanistan,0,0,0,0,2020-02-13 00:00:00
AF,Afghanistan,0,0,0,0,2020-02-14 00:00:00
AF,Afghanistan,0,0,0,0,2020-02-15 00:00:00
AF,Afghanistan,0,0,0,0,2020-02-16 00:00:00
AF,Afghanistan,0,0,0,0,2020-02-17 00:00:00
AF,Afghanistan,0,0,0,0,2020-02-18 00:00:00
AF,Afghanistan,0,0,0,0,2020-02-19 00:00:00
AF,Afghanistan,0,0,0,0,2020-02-20 00:00:00
AF,Afghanistan,0,0,0,0,2020-02-21 00:00:00
AF,Afghanistan,0,0,0,0,2020-02-22 00:00:00
AF,Afghanistan,0,0,0,0,2020-02-23 00:00:00
AF,Afghanistan,5,0,5,0,2020-02-24 00:00:00
AF,Afghanistan,5,0,0,0,2020-02-25 00:00:00
AF,Afghanistan,5,0,0,0,2020-02-26 00:00:00
AF,Afghanistan,5,0,0,0,2020-02-27 00:00:00
AF,Afghanistan,5,0,0,0,2020-02-28 00:00:00
AF,Afghanistan,5,0,0,0,2020-02-29 00:00:00
AF,Afghanistan,5,0,0,0,2020-03-01 00:00:00
AF,Afghanistan,5,0,0,0,2020-03-02 00:00:00
AF,Afghanistan,5,0,0,0,2020-03-03 00:00:00
AF,Afghanistan,5,0,0,0,2020-03-04 00:00:00
AF,Afghanistan,5,0,0,0,2020-03-05 00:00:00
AF,Afghanistan,5,0,0,0,2020-03-06 00:00:00
AF,Afghanistan,8,0,3,0,2020-03-07 00:00:00
AF,Afghanistan,8,0,0,0,2020-03-08 00:00:00
AF,Afghanistan,8,0,0,0,2020-03-09 00:00:00
AF,Afghanistan,8,0,0,0,2020-03-10 00:00:00
AF,Afghanistan,11,0,3,0,2020-03-11 00:00:00
AF,Afghanistan,11,0,0,0,2020-03-12 00:00:00
AF,Afghanistan,11,0,0,0,2020-03-13 00:00:00
AF,Afghanistan,14,0,3,0,2020-03-14 00:00:00
AF,Afghanistan,20,0,6,0,2020-03-15 00:00:00
AF,Afghanistan,25,0,5,0,2020-03-16 00:00:00
AF,Afghanistan,26,0,1,0,2020-03-17 00:00:00
AF,Afghanistan,26,0,0,0,2020-03-18 00:00:00
AF,Afghanistan,26,0,0,0,2020-03-19 00:00:00
AF,Afghanistan,24,0,-2,0,2020-03-20 00:00:00
AF,Afghanistan,24,0,0,0,2020-03-21 00:00:00
AF,Afghanistan,34,0,10,0,2020-03-22 00:00:00
AF,Afghanistan,40,1,6,1,2020-03-23 00:00:00
