AnlyTxHack__ExternalAccountId__c,Amount,CloseDate,AnlyTxHack__Company_Size__c,AnlyTxHack__Industry_Type__c,LeadSource,Name,AnlyTxHack__Opportunity_Source__c,AnlyTxHack__Region__c,StageName,Type,AnlyTxHack__Country__c
0012w00000Lz0gCAAR,240747,02-01-2020 00:00,0-25,Manufacturing,Word of mouth,Opportunity for McDonald13,AE,EMEA,Closed Won,New Business / Add-on,Australia
0012w00000Lz0gkAAB,21640,03-01-2020 00:00,26-200,Human Resource,Trade Show,Opportunity for Jefferson17,Marketing,NAM,Closed Won,New Business / Add-on,Austria
0012w00000Lz0YFAAZ,1249000,04-01-2020 00:00,0-25,Consumer Goods,Advertisement,Opportunity for McLaughlin130,Marketing,NAM,Negotiation/Review,Existing Business,Belarus
0012w00000Lz0cCAAR,754640,05-01-2020 00:00,Over 201,Consumer Goods,Trade Show,Opportunity for Chandler133,AE,NAM,Perception Analysis,New Business,Brazil
0012w00000Lz0arAAB,243450,06-01-2020 00:00,0-25,Entertainment,Word of mouth,Opportunity for Rice134,AE,LATAM,Closed Won,New Business,Belgium
0012w00000Lz0ezAAB,363400,07-01-2020 00:00,Over 201,Computer Software,Word of mouth,Opportunity for Barnes141,BDR,EMEA,Qualification,New Business / Add-on,China
0012w00000Lz0XaAAJ,4212140,08-01-2020 00:00,26-200,Entertainment,Public Relations,Opportunity for Edwards146,Marketing,LATAM,Perception Analysis,New Business,United Arab Emirates
0012w00000Lz0htAAB,2305550,09-01-2020 00:00,Over 201,Manufacturing,Employee Referral,Opportunity for Williams149,BDR,EMEA,Needs Analysis,New Business,United States of America
0012w00000Lz0VnAAJ,2660660,10-01-2020 00:00,Over 201,Human Resource,Employee Referral,Opportunity for Wagner150,AE,NAM,Closed Lost,Existing Business,India
0012w00000Lz0hyAAB,309938,11-01-2020 00:00,Over 201,Entertainment,Word of mouth,Opportunity for Lewis258,Marketing,LATAM,Closed Won,New Business / Add-on,The United Kingdom
0012w00000Lz0feAAB,1589440,12-01-2020 00:00,Over 201,Travel,Public Relations,Opportunity for Barrett259,AE,APAC,Closed Lost,New Business,Russia
0012w00000Lz0YfAAJ,2868400,13-01-2020 00:00,26-200,Computer Software,Public Relations,Opportunity for Dennis260,AE,EMEA,Needs Analysis,Existing Business,Canada
0012w00000Lz0dQAAR,2664105,16-01-2020 00:00,Over 201,Construction,Advertisement,Opportunity for Murphy267,Marketing,APAC,Closed Won,Existing Business,Israel
0012w00000Lz0WiAAJ,1518190,17-01-2020 00:00,0-25,Manufacturing,Web,Opportunity for Freeman268,AE,EMEA,Closed Won,New Business,Australia
0012w00000Lz0a7AAB,846000,18-01-2020 00:00,Over 201,Travel,Word of mouth,Opportunity for Terry269,AE,APAC,Closed Won,New Business / Add-on,Austria
0012w00000Lz0ZUAAZ,179225,19-01-2020 00:00,Over 201,Consumer Goods,Employee Referral,Opportunity for Butler275,Marketing,NAM,Closed Won,New Business,Belarus
0012w00000Lz0U0AAJ,22240,20-01-2020 00:00,0-25,Manufacturing,Partner,Opportunity for Collier276,Alliances,EMEA,Closed Won,New Business / Add-on,Brazil
0012w00000Lz0YIAAZ,62400,21-01-2020 00:00,Over 201,Manufacturing,Seminar - Internal,Opportunity for Alexander278,AE,EMEA,Closed Won,New Business,Belgium
0012w00000Lz0d8AAB,657600,22-01-2020 00:00,Over 201,Human Resource,Partner,Opportunity for Allison281,AE,NAM,Closed Won,New Business / Add-on,China
0012w00000Lz0cIAAR,637520,23-01-2020 00:00,26-200,Construction,Partner,Opportunity for Delgado355,BDR,APAC,Closed Won,New Business,United Arab Emirates
0012w00000Lz0VfAAJ,690210,24-01-2020 00:00,Over 201,Entertainment,Advertisement,Opportunity for Bryant359,Marketing,LATAM,Closed Won,New Business / Add-on,United States of America
0012w00000Lz0fZAAR,136464,25-01-2020 00:00,Over 201,Construction,Word of mouth,Opportunity for Wise361,Marketing,APAC,Prospecting,New Business,India
0012w00000Lz0hlAAB,2345840,27-01-2020 00:00,26-200,Human Resource,Seminar - Internal,Opportunity for Scott363,Alliances,NAM,Closed Won,New Business / Add-on,The United Kingdom
0012w00000Lz0hRAAR,8577295,28-01-2020 00:00,0-25,Manufacturing,Employee Referral,Opportunity for McCoy365,Marketing,EMEA,Perception Analysis,New Business,Russia
0012w00000Lz0UlAAJ,809810,30-01-2020 00:00,0-25,Entertainment,Web,Opportunity for Rios369,Alliances,LATAM,Closed Lost,New Business / Add-on,Canada
0012w00000Lz0fXAAR,582035,01-02-2020 00:00,Over 201,Travel,Employee Referral,Opportunity for Harrington373,AE,APAC,Qualification,New Business,Israel
