AnlyTxHack__ExternalAccountId__c,AMOUNT,CLOSEDATE,AnlyTxHack__Company_Size__c,AnlyTxHack__Country__c,AnlyTxHack__Industry_Type__c,LEADSOURCE,NAME,STAGENAME,TYPE
0012w00000LRfm6AAD,32400,2020-01-01,0-25,Belgium,Computer Software,Employee Referral,Opportunity for Conner5,Closed Won,Existing Business
0012w00000LRfuvAAD,728525,2020-01-01,26-200,Belarus,Construction,Partner,Opportunity for Jennings981,Closed Won,New Business
0012w00000LRfqeAAD,1032600,2020-01-01,26-200,Austria,Travel,Employee Referral,Opportunity for Malone696,Prospecting,New Business / Add-on
0012w00000LRfr5AAD,1817900,2020-01-01,0-25,Israel,Entertainment,Word of mouth,Opportunity for Wilkerson513,Needs Analysis,New Business
0012w00000LRfozAAD,207240,2020-01-01,Over 201,India,Entertainment,Word of mouth,Opportunity for Moss1820,Perception Analysis,New Business
0012w00000LRfrkAAD,185630,2020-01-01,Over 201,United Arab Emirates,Health Care,Advertisement,Opportunity for Phillips797,Value Proposition,New Business
0012w00000LRfnvAAD,637520,2020-01-01,Over 201,Belgium,Health Care,Public Relations,Opportunity for Moody784,Closed Won,New Business
0012w00000LRfj2AAD,240747,2020-01-02,0-25,Australia,Manufacturing,Word of mouth,Opportunity for McDonald13,Closed Won,New Business / Add-on
0012w00000LRfv1AAD,690210,2020-01-02,Over 201,Australia,Computer Software,Employee Referral,Opportunity for Harrison791,Prospecting,New Business / Add-on
0012w00000LRfsmAAD,1218640,2020-01-02,Over 201,The United Kingdom,Travel,Employee Referral,Opportunity for Blair798,Closed Won,New Business / Add-on
0012w00000LRfiHAAT,470865,2020-01-02,26-200,Belarus,Travel,Employee Referral,Opportunity for Miles1826,Prospecting,Existing Business
0012w00000LRfhHAAT,54900,2020-01-02,26-200,Brazil,Entertainment,Partner,Opportunity for Weber983,Closed Lost,New Business
0012w00000LRfp7AAD,43355,2020-01-02,0-25,Belgium,Entertainment,Trade Show,Opportunity for Ingram699,Perception Analysis,Existing Business
0012w00000LRfoUAAT,1578500,2020-01-02,26-200,Australia,Health Care,Public Relations,Opportunity for Barnes515,Closed Won,New Business
0012w00000LRfksAAD,594760,2020-01-03,26-200,China,Computer Software,Seminar - Internal,Opportunity for Swanson1068,Closed Won,New Business
0012w00000LRfncAAD,2734080,2020-01-03,Over 201,United Arab Emirates,Computer Software,Employee Referral,Opportunity for Collier517,Closed Won,New Business / Add-on
0012w00000LRfm6AAD,17400,2020-01-03,0-25,Canada,Computer Software,Employee Referral,Opportunity for Conner5,Qualification,Existing Business
0012w00000LRfjXAAT,237283,2020-01-03,26-200,Israel,Entertainment,Partner,Opportunity for Beck799,Closed Lost,New Business / Add-on
0012w00000LRfmOAAT,141300,2020-01-03,0-25,Belgium,Entertainment,Employee Referral,Opportunity for Lane987,Qualification,New Business
0012w00000LRfrkAAD,136464,2020-01-03,Over 201,China,Entertainment,Advertisement,Opportunity for Phillips797,Value Proposition,New Business
0012w00000LRfk2AAD,21640,2020-01-03,26-200,Austria,Health Care,Trade Show,Opportunity for Jefferson17,Closed Won,New Business / Add-on
0012w00000LRfuRAAT,1249000,2020-01-04,0-25,Belarus,Consumer Goods,Advertisement,Opportunity for McLaughlin130,Negotiation/Review,Existing Business
0012w00000LRfsmAAD,744440,2020-01-04,Over 201,Brazil,Travel,Employee Referral,Opportunity for Blair798,Prospecting,New Business / Add-on
0012w00000LRfhrAAD,913860,2020-01-04,0-25,Austria,Consumer Goods,Partner,Opportunity for Hansen520,Closed Won,New Business / Add-on
0012w00000LRfqzAAD,70680,2020-01-04,Over 201,Belgium,Travel,Seminar - Internal,Opportunity for Sullivan800,Closed Lost,New Business
0012w00000LRfj2AAD,1417400,2020-01-04,0-25,The United Kingdom,Manufacturing,Word of mouth,Opportunity for McDonald13,Closed Won,New Business / Add-on
0012w00000LRfmXAAT,279405,2020-01-04,Over 201,China,Entertainment,Public Relations,Opportunity for Lloyd988,Closed Lost,Existing Business
0012w00000LRfldAAD,3306425,2020-01-04,0-25,China,Entertainment,Web,Opportunity for Weber1078,Closed Lost,New Business / Add-on
0012w00000LRfn4AAD,754640,2020-01-05,Over 201,Brazil,Consumer Goods,Trade Show,Opportunity for Chandler133,Perception Analysis,New Business
0012w00000LRftUAAT,229470,2020-01-05,0-25,Australia,Consumer Goods,Advertisement,Opportunity for George802,Closed Won,Existing Business
0012w00000LRfqtAAD,316254,2020-01-05,26-200,Russia,Computer Software,Seminar - Internal,Opportunity for Porter991,Needs Analysis,New Business
0012w00000LRfgOAAT,236040,2020-01-05,Over 201,Israel,Computer Software,Seminar - Internal,Opportunity for Bowman1081,Prospecting,New Business / Add-on
0012w00000LRfhGAAT,230520,2020-01-05,Over 201,Belarus,Entertainment,Web,Opportunity for Clarke523,Closed Lost,New Business / Add-on
0012w00000LRfk2AAD,1488450,2020-01-05,26-200,Russia,Health Care,Trade Show,Opportunity for Jefferson17,Closed Won,New Business / Add-on
0012w00000LRfjXAAT,2345840,2020-01-05,26-200,United Arab Emirates,Health Care,Partner,Opportunity for Beck799,Closed Won,New Business / Add-on
0012w00000LRfqzAAD,77295,2020-01-06,Over 201,Canada,Travel,Seminar - Internal,Opportunity for Sullivan800,Closed Won,New Business
0012w00000LRfu3AAD,411185,2020-01-06,Over 201,Brazil,Computer Software,Trade Show,Opportunity for Dennis524,Closed Lost,New Business
0012w00000LRfl5AAD,107040,2020-01-06,Over 201,Israel,Travel,Seminar - Internal,Opportunity for Gill1168,Prospecting,New Business
0012w00000LRfuRAAT,136800,2020-01-06,0-25,Canada,Consumer Goods,Advertisement,Opportunity for McLaughlin130,Negotiation/Review,Existing Business
0012w00000LRfjOAAT,243450,2020-01-06,0-25,Belgium,Entertainment,Word of mouth,Opportunity for Rice134,Closed Lost,New Business
0012w00000LRfiuAAD,2243150,2020-01-06,Over 201,United Arab Emirates,Health Care,Partner,Opportunity for Norman1354,Proposal/Price Quote,Existing Business
0012w00000LRfkwAAD,219000,2020-01-06,0-25,United Arab Emirates,Health Care,Web,Opportunity for Maxwell1082,Value Proposition,New Business / Add-on
0012w00000LRfvtAAD,363400,2020-01-07,Over 201,China,Computer Software,Word of mouth,Opportunity for Barnes141,Qualification,New Business / Add-on
0012w00000LRfp4AAD,1817815,2020-01-07,Over 201,Belgium,Travel,Web,Opportunity for Harper529,Perception Analysis,New Business / Add-on
0012w00000LRftUAAT,266400,2020-01-07,0-25,United States of America,Consumer Goods,Advertisement,Opportunity for George802,Closed Won,Existing Business
0012w00000LRfqYAAT,2158750,2020-01-07,0-25,United States of America,Computer Software,Employee Referral,Opportunity for Gomez1357,Perception Analysis,New Business / Add-on
0012w00000LRfn4AAD,991350,2020-01-07,Over 201,Israel,Consumer Goods,Trade Show,Opportunity for Chandler133,Perception Analysis,New Business
0012w00000LRfheAAD,567000,2020-01-07,0-25,United States of America,Entertainment,Seminar - Internal,Opportunity for Soto1087,Closed Lost,New Business / Add-on
0012w00000LRftDAAT,1640210,2020-01-07,Over 201,Austria,Health Care,Trade Show,Opportunity for Osborne1170,Closed Won,New Business / Add-on
0012w00000LRfsxAAD,4212140,2020-01-08,26-200,United Arab Emirates,Entertainment,Public Relations,Opportunity for Edwards146,Perception Analysis,New Business
0012w00000LRfvRAAT,2135800,2020-01-08,0-25,Belarus,Computer Software,Advertisement,Opportunity for Rhodes1171,Closed Lost,New Business / Add-on
0012w00000LRfl5AAD,809810,2020-01-08,Over 201,The United Kingdom,Travel,Seminar - Internal,Opportunity for Gill1168,Closed Lost,New Business
0012w00000LRftMAAT,2303500,2020-01-08,0-25,India,Travel,Public Relations,Opportunity for Alvarez1088,Perception Analysis,New Business
0012w00000LRfliAAD,5294610,2020-01-08,Over 201,Australia,Travel,Word of mouth,Opportunity for Sullivan1358,Prospecting,New Business
0012w00000LRfjOAAT,1683185,2020-01-08,0-25,Australia,Entertainment,Word of mouth,Opportunity for Rice134,Closed Lost,New Business
0012w00000LRfuaAAD,1593200,2020-01-08,Over 201,China,Health Care,Advertisement,Opportunity for Duncan873,Closed Won,New Business
0012w00000LRfnWAAT,2305550,2020-01-09,Over 201,United States of America,Manufacturing,Employee Referral,Opportunity for Williams149,Needs Analysis,New Business
